student_id,topic_id,mean hesitation,std hesitation,mean conf,std conf,grammar point,words,unique word (%),% rare words,have transcript,IELTS speaking score,,
139,14,0.04375,0.101302679,0.9462478163,0.1286587439,71,49,80,23,,55,,
139,14,0.05261223529,0.0977577179,0.9151949615,0.1682892779,89,44,86,24,,55,,
139,14,,,,,74,37,86,25,,55,,
139,14,,,,,58,31,81,20,,55,,
139,14,,,,,65,36,92,18,,55,,
142,6,0.1113427895,0.2100326111,0.9534933077,0.1133560864,76,57,82,19,,55,,
142,6,0.05579636,0.1077076323,0.8997169804,0.1834856749,87,70,74,15,,55,,
142,14,0.1183702857,0.1641665345,0.9418762222,0.1321850371,77,48,71,24,,55,,
142,2,0.1062673089,0.2284139439,0.9266832713,0.1599703393,49,226,50,21,,55,,
143,14,2.198527904,2.235241603,0.6555446064,0.23656742,99,725,50,22,,50,,
143,11,1.737913446,1.837806269,0.6836135514,0.2437108633,97,626,44,26,,50,,
143,10,1.97114581,2.623961128,0.681058678,0.2568516489,86,108,65,14,,50,,
147,6,0.1521456116,0.2979095587,0.9459527927,0.1327389784,99,271,58,26,,50,,
147,15,0.1738711743,0.2991150205,0.949525247,0.1314463294,99,305,53,17,,50,,
147,17,0.1562417135,0.2961471339,0.9421533195,0.1340335522,84,368,50,20,,50,,
147,2,0.1496067837,0.282764606,0.9380650081,0.1284878823,99,234,59,26,,50,,
147,2,0.1732407778,0.3145509171,0.9382623937,0.1400396772,64,107,73,18,,50,,
149,18,,,,,,21,,,,,too short,
149,6,0.1832142857,0.2285226883,0.9487701724,0.1107455336,94,32,66,14,,50,,
149,11,0.2535398077,0.3383619309,0.134856194,0.134856194,54,34,68,13,,50,,
149,2,,,,,,24,,,,50,too short,
152,6,0.1132781338,0.23612558,0.9411664311,0.1395711836,50,238,58,18,,60,,
152,11,0.1169554513,0.2414494317,0.9565231978,0.1232126869,66,65,71,13,,60,,
152,10,0.1535794226,0.2782970316,0.9379214485,0.1292927487,59,101,61,16,,60,,
152,9,0.08206511082,0.154379855,0.9333840077,0.1428373573,48,116,67,17,,60,,
152,15,0.134325508,0.2881334044,0.9296917545,0.1445173745,95,245,62,20,,60,,
152,17,0.1053563333,0.20421375,0.9453104476,0.1281860447,89,102,72,15,,60,,
001,03,0.136574,0.400772,0.952805,0.128137,79,45,80,17,,70,,
001,04,0.171405,0.488573,0.940314,0.143486,89,57,74,21,,70,,
001,05,0.1633953889,0.5111163579,0.9297634727,0.1517044791,,,,,,70,,
001,07,0.113236,0.281142,0.970526,0.09266,86,112,68,17,,70,,
001,15,0.151950125,0.4128198293,0.9359941053,0.1496434582,,,,,,70,,
002,01,0.146445,0.475925,0.968951,0.098056,100,566,49,23,,65,,
002,03,0.189565,0.408148,0.964099,0.106777,99,868,42,32,,65,,
002,05,0.215556,0.471175,0.962586,0.107523,99,656,48,27,,65,,
002,12,0.177325,0.401342,0.962986,0.105536,100,403,44,28,,65,,
002,13,0.17475,0.405374,0.973224,0.093856,100,518,51,26,,65,,
002,14,0.201764,0.459385,0.953728,0.114318,100,696,40,25,,65,,
002,15,0.175789,0.427689,0.951836,0.124228,99,345,50,24,,65,,
003,05,0.132326,0.325456,0.96324,0.116841,100,471,42,23,,70,,
003,06,0.112227,0.28989,0.965437,0.100797,100,459,48,25,,70,,
003,12,0.10567,0.272532,0.954311,0.120769,100,562,46,24,,70,,
003,13,0.116225,0.285607,0.975756,0.086023,85,191,55,21,,70,,
003,15,0.105611,0.295575,0.953646,0.125144,98,569,43,20,,70,,
004,01,0.107481,0.305265,0.963901,0.101408,97,284,52,16,,80,,
004,03,0.09796,0.29425,0.971411,0.098658,97,756,46,26,,80,,
004,05,0.100288,0.252963,0.966099,0.109917,100,702,44,25,,80,,
004,12,0.095961,0.255969,0.977729,0.080616,100,547,44,21,,80,,
004,13,0.07875,0.199041,0.970527,0.102784,91,284,59,18,,80,,
004,14,0.081365,0.253525,0.97709,0.086556,100,735,43,22,,80,,
004,15,0.545298,1.143909,0.791595,0.230831,100,540,44,20,,80,,
005,01,0.160383,0.343202,0.9655,0.100492,87,399,51,21,,65,,
006,03,0.268667,0.492733,0.953651,0.125028,,,,,,70,,
006,04,0.157976,0.285471,0.972872,0.090816,77,158,59,21,,70,,
006,04,0.159345,0.274059,0.951716,0.111038,71,53,77,20,,70,,
006,04,0.214923,0.374314,0.967424,0.106896,95,72,81,24,,70,,
006,04,0.182879,0.344773,0.940975,0.12872,99,63,81,12,,70,,
007,01,1.593837,1.564426,0.649182,0.221108,75,251,45,25,,70,,
007,01,2.316346,2.289192,0.655719,0.238033,100,406,43,20,,70,,
007,01,1.673878,1.71742,0.701459,0.238461,100,844,33,25,,70,,
007,03,1.967486,1.838714,0.669808,0.246285,68,521,40,18,,70,,
007,05,1.263951,1.34934,0.698344,0.231267,99,228,47,23,,70,,
007,05,1.51863,1.602563,0.677401,0.23265,98,329,46,17,,70,,
007,06,2.393993,2.442061,0.655093,0.25641,98,692,39,19,,70,,
007,12,1.709649,1.992295,0.659252,0.239252,100,467,39,13,,70,,
007,13,2.030749,1.922993,0.637424,0.243621,100,517,40,21,,70,,
007,15,1.985385,1.9547,0.66433,0.236302,96,272,47,16,,70,,
007,15,2.169571,1.991876,0.694002,0.252095,81,450,42,17,,70,,
007,20,1.964067,1.829024,0.67084,0.240312,100,838,35,24,,70,,
008,01,0.176805,0.391919,0.980391,0.08368,100,1010,29,21,,70,,
008,02,0.215132,0.465808,0.975974,0.091832,100,1009,38,26,,70,,
008,04,0.198963,0.394885,0.984686,0.068936,100,730,33,21,,70,,
008,05,0.176747,0.356527,0.978505,0.085511,99,1207,33,26,,70,,
008,06,0.17131,0.359808,0.979642,0.079129,100,1111,27,25,,70,,
008,07,0.203319,0.378083,0.984167,0.076431,95,858,38,17,,70,,
008,08,0.195896,0.428401,0.983632,0.079188,100,975,33,22,,70,,
008,09,0.184552,0.370075,0.984302,0.370075,100,1040,29,27,,70,,
011,09,1.902154088,1.733957435,0.645038019,0.2455824976,99,450,48,27,,70,,
011,11,2.617364275,2.467831184,0.6300423398,0.2459568622,100,513,43,21,,70,,
011,14,2.14998287,2.310902667,0.6612633252,0.2207461474,99,316,47,24,,70,,
011,15,2.277482961,2.303417089,0.6513947692,0.2427134025,97,197,54,21,,70,,
011,15,2.462639884,2.474643972,0.6665282178,0.2455321647,100,412,51,26,,70,,
011,17,3.600686414,3.382954857,0.5671712254,0.2454674141,98,188,58,28,,70,,
011,17,0.1409086395,0.3165808116,0.9698163793,0.09568414446,100,377,46,18,,70,,
011,02,2.158134776,2.060649906,0.6575713324,0.2443196193,100,564,52,29,,70,,
011,03,2.097739229,2.078194381,0.6434652233,0.2542018384,100,405,50,21,,70,,
011,08,2.069523116,2.156071293,0.6770255405,0.2675060642,99,273,50,24,,70,,
012,01,0.180676796,0.4273697485,0.98054601,0.07711478424,84,172,52,16,,65,,
012,01,0.1255186369,0.3296499331,0.9583641056,0.116405599,73,108,69,23,,65,,
012,01,0.1409086395,0.3165808116,0.9698163793,0.09568414446,65,173,58,25,,65,,
012,02,0.1973725519,0.3969791715,0.9493067089,0.1261284236,96,215,53,20,,65,,
012,02,0.1982406333,0.3934979043,0.9748258008,0.09601570279,98,179,60,21,,65,,
012,02,0.2116696294,0.4563604884,0.9635224375,0.115912814,70,162,57,26,,65,,
012,02,0.1479354,0.3412644164,0.9439272459,0.1316483631,97,59,76,33,,65,,
012,02,0.2139678706,0.410315183,0.9629628488,0.1249211227,87,112,67,24,,65,,
012,02,0.211175252,0.3873525049,0.9692313594,0.1043973218,86,119,65,25,,65,,
012,03,0.1789460085,0.3965518476,0.9552893432,0.1346872632,99,235,55,25,,65,,
012,03,0.1495346311,0.3233649556,0.9782076442,0.09462510411,66,92,70,25,,65,,
012,03,0.1781519012,0.4026484311,0.9789683179,0.07653907636,90,160,58,17,,65,,
012,03,0.1802304074,0.3249876884,0.9670272,0.1123018138,83,68,72,14,,65,,
012,03,0.1727509691,0.3339809302,0.9651781735,0.09791048413,69,90,74,19,,65,,
012,05,0.1520478788,0.3248628251,0.9687444211,0.1179361346,75,137,63,20,,65,,
012,05,0.1595193672,0.3259389447,0.9628586732,0.1166641829,98,259,54,26,,65,,
012,05,0.1352454648,0.2348201263,0.9793295556,0.07438252935,85,59,75,20,,65,,
012,05,0.1682882308,0.3097377898,0.9702880076,0.09781602184,90,127,59,17,,65,,
012,07,0.1614871697,0.3070977413,0.9660717215,0.1159413119,99,210,52,22,,65,,
012,07,0.1668760667,0.3490284509,0.9671172133,0.1075736455,97,182,57,17,,65,,
012,07,0.1954093413,0.3953663002,0.9558439606,0.1274600313,75,119,58,17,,65,,
013,02,3.952321934,3.33789758,0.6039862258,0.2217722295,,,,,,70,,
013,07,4.534069128,4.106364426,0.5440180833,0.2035821214,,,,,,70,,
013,17,2.793270768,2.078044882,0.6134118421,0.230520032,98,217,72,29,,70,,
014,01,0.08611243697,0.1704129838,0.9575539083,0.1285081857,76,78,72,20,,65,,
014,02,0.07788654206,0.1853500466,0.9655740648,0.09443061519,84,112,64,18,,65,,
014,02,0.07337149558,0.1800130393,0.9691697193,0.09704536178,89,101,77,26,,65,,
014,02,0.1116099882,0.2034870246,0.9794702907,0.07172841486,79,93,75,11,,65,,
014,02,0.1083315921,0.2203319617,0.9697973117,0.1102544586,96,79,65,22,,65,,
014,02,0.06645286458,0.1549134256,0.9642599381,0.1166685743,86,120,73,15,,65,,
014,03,0.1027174274,0.1893850682,0.9797927119,0.07681049108,83,124,68,24,,65,,
014,13,0.07739847059,0.1657609866,0.9549664884,0.1241764097,64,106,70,22,,65,,
014,20,0.1119168609,0.1978304824,0.9537281034,0.1174313378,57,114,55,11,,65,,
016,03,0.1396699057,0.3022784771,0.9235431714,0.1523689026,84,138,84,16,,60,,
016,03,0.198609204,0.4027814481,0.9321689082,0.1430285183,99,236,62,23,,60,,
016,05,0.1634519233,0.3500826471,0.9431686148,0.1365837137,99,300,52,19,,60,,
016,06,0.1131191381,0.2307944315,0.9458054958,0.1329914166,97,206,54,19,,60,,
016,07,0.1264749369,0.3023968506,0.958716715,0.1137349788,69,97,72,16,,60,,
016,07,0.1187889198,0.2618520261,0.9604759202,0.115726404,92,62,82,14,,60,,
016,07,0.1591438905,0.3795899752,0.9537898748,0.1256065074,99,338,54,25,,60,,
016,07,0.1295318202,0.3330968851,0.9547459495,0.1266439685,83,351,47,19,,60,,
016,09,0.1401756858,0.2877534718,0.9531348899,0.1215047194,81,172,61,25,,60,,
016,09,0.2099448627,0.4265499844,0.9334457239,0.1534945714,99,284,59,27,,60,,
017,04,0.1444037623,0.291702136,0.9479746554,0.1432099184,85,291,42,21,,65,,
017,05,0.1335848198,0.3141906442,0.9805359462,0.08639981478,99,241,48,15,,65,,
017,11,0.1780316982,0.3805632863,0.9668391987,0.1004075794,100,588,24,35,,65,,
017,13,0.1736720083,0.3243127831,0.9624873503,0.1160156953,100,1050,30,25,,65,,
019,02,0.1894907737,0.3285548758,0.9615987295,0.1176892668,99,202,55,22,,60,,
019,06,0.1712158733,0.3261772833,0.9667888838,0.1076090719,100,782,33,22,,60,,
019,07,0.1832195021,0.3490878145,0.9716204034,0.0965051188,69,179,55,24,,60,,
019,07,0.1723169469,0.3478483348,0.9671360655,0.09407010664,100,507,40,16,,60,,
019,18,0.1374290378,0.265518138,0.9677684075,0.1048226078,97,217,48,15,,60,,
021,03,0.5368165426,0.8550618057,0.8130309624,0.2188558198,100,696,40,21,,65,,
021,12,0.486009015,0.7906594531,0.8221327712,0.2156668957,99,789,40,21,,65,,
021,14,0.5036380864,0.7513687541,0.8144345615,0.2030849096,79,185,56,17,,65,,
021,14,0.416311941,0.6331808856,0.8217795184,0.2023027604,98,231,47,13,,65,,
021,17,0.5033814052,0.7548708019,0.8405211026,0.1849593215,91,102,68,17,,65,,
021,17,0.456542774,0.7458435753,0.8226150544,0.2038745015,88,113,63,11,,65,,
022,11,0.13244,0.302925,0.965987,0.101328,81,126,62,12,,50,,
022,15,0.116298,0.202939,0.952147,0.133962,88,141,62,16,,50,,
022,17,0.1637458646,0.2884924586,0.946982342,0.1303257876,99,196,62,16,,50,,
023,07,0.8969842739,1.021865598,0.7325899365,0.2444370295,99,362,51,19,,60,,
023,08,0.7731805772,0.9740037593,0.7697307015,0.2250761544,99,239,57,23,,60,,
024,07,0.094916,0.199467,0.925419,0.162284,,,,,,50,,
024,11,0.104679,0.188901,0.933585,0.148396,86,138,57,9,,50,,
024,12,0.103025,0.216463,0.951397,0.128058,81,116,59,10,,50,,
024,16,0.102553,0.20642,0.926038,0.150819,78,36,94,9,,50,,
024,16,0.08304410204,0.1772514035,0.9391249309,0.1441025401,86,138,59,0,,50,,
024,16,0.1025471066,0.2067220814,0.9246791768,0.1517168105,89,159,51,12,,50,,
024,16,0.09638042424,0.1999237421,0.9255050431,0.161129079,81,116,59,10,,50,,
025,11,0.2073020183,0.4388173797,0.9296854188,0.1576902859,87,427,48,24,,65,,
025,14,0.1077560216,0.2886318374,0.9450270214,0.1432577306,95,40,78,16,,65,,
025,14,0.2586859211,0.4776674207,0.8827763846,0.160449024,90,82,61,12,,65,,
026,02,0.2080259272,0.3491883897,0.9388315835,0.1384474619,99,350,50,18,,50,,
